"Notes"	"Region"	"Region Code"	"Month Day, Year"	"Month Day, Year Code"	Avg Daily Max Air Temperature (F)	Avg Daily Min Air Temperature (F)	Avg Daily Max Heat Index (F)
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 19, 1979"	"1979/01/19"	4.33	-11.72	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 20, 1979"	"1979/01/20"	14.53	-11.11	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 21, 1979"	"1979/01/21"	32.48	12.45	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 22, 1979"	"1979/01/22"	34.42	18.35	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 23, 1979"	"1979/01/23"	21.19	9.55	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 24, 1979"	"1979/01/24"	26.34	7.58	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 25, 1979"	"1979/01/25"	32.73	19.38	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 26, 1979"	"1979/01/26"	33.62	30.03	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 27, 1979"	"1979/01/27"	34.29	29.26	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 28, 1979"	"1979/01/28"	34.15	31.85	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 29, 1979"	"1979/01/29"	34.83	32.30	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 30, 1979"	"1979/01/30"	34.74	31.79	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 31, 1979"	"1979/01/31"	33.11	27.48	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 01, 1979"	"1979/02/01"	29.86	24.01	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 02, 1979"	"1979/02/02"	25.20	17.29	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 03, 1979"	"1979/02/03"	19.46	11.46	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 04, 1979"	"1979/02/04"	20.12	8.49	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 05, 1979"	"1979/02/05"	14.12	3.60	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 06, 1979"	"1979/02/06"	7.94	-1.18	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 07, 1979"	"1979/02/07"	14.70	-3.92	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 08, 1979"	"1979/02/08"	15.20	4.51	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 09, 1979"	"1979/02/09"	9.62	-2.33	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 10, 1979"	"1979/02/10"	-0.18	-10.81	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 11, 1979"	"1979/02/11"	-5.49	-17.79	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 12, 1979"	"1979/02/12"	-1.86	-17.54	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 13, 1979"	"1979/02/13"	-2.62	-13.48	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 14, 1979"	"1979/02/14"	-5.31	-16.64	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 15, 1979"	"1979/02/15"	-1.45	-17.10	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 16, 1979"	"1979/02/16"	0.23	-11.74	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 17, 1979"	"1979/02/17"	-7.27	-16.39	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 18, 1979"	"1979/02/18"	5.45	-15.97	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 19, 1979"	"1979/02/19"	21.38	-6.71	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 20, 1979"	"1979/02/20"	25.76	7.61	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 21, 1979"	"1979/02/21"	32.52	19.48	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 22, 1979"	"1979/02/22"	32.90	24.06	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 23, 1979"	"1979/02/23"	31.87	19.23	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 24, 1979"	"1979/02/24"	34.71	27.61	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 25, 1979"	"1979/02/25"	31.87	19.97	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 26, 1979"	"1979/02/26"	23.91	17.18	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 27, 1979"	"1979/02/27"	30.14	18.97	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 28, 1979"	"1979/02/28"	33.21	21.92	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 01, 1979"	"1979/03/01"	29.00	20.51	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 02, 1979"	"1979/03/02"	29.79	22.53	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 03, 1979"	"1979/03/03"	33.67	25.64	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 04, 1979"	"1979/03/04"	37.01	26.27	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 05, 1979"	"1979/03/05"	40.46	34.83	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 06, 1979"	"1979/03/06"	41.20	37.39	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 07, 1979"	"1979/03/07"	40.30	33.26	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 08, 1979"	"1979/03/08"	36.47	31.24	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 09, 1979"	"1979/03/09"	35.46	30.02	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 10, 1979"	"1979/03/10"	36.97	30.28	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 11, 1979"	"1979/03/11"	37.62	25.64	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 12, 1979"	"1979/03/12"	25.97	4.33	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 13, 1979"	"1979/03/13"	27.68	-0.45	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 14, 1979"	"1979/03/14"	41.07	27.49	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 15, 1979"	"1979/03/15"	33.23	5.42	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 16, 1979"	"1979/03/16"	17.42	3.73	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 17, 1979"	"1979/03/17"	22.34	14.98	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 18, 1979"	"1979/03/18"	31.96	14.30	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 19, 1979"	"1979/03/19"	35.03	29.57	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 20, 1979"	"1979/03/20"	38.86	27.72	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 21, 1979"	"1979/03/21"	48.61	33.81	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 22, 1979"	"1979/03/22"	51.77	32.96	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 23, 1979"	"1979/03/23"	56.20	34.92	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 24, 1979"	"1979/03/24"	55.75	34.25	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 25, 1979"	"1979/03/25"	49.02	36.67	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 26, 1979"	"1979/03/26"	45.73	30.64	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 27, 1979"	"1979/03/27"	30.64	19.94	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 28, 1979"	"1979/03/28"	32.88	19.92	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 29, 1979"	"1979/03/29"	40.12	28.63	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 30, 1979"	"1979/03/30"	47.22	32.13	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 31, 1979"	"1979/03/31"	43.43	36.05	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 01, 1979"	"1979/04/01"	42.52	32.34	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 02, 1979"	"1979/04/02"	42.15	29.79	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 03, 1979"	"1979/04/03"	49.69	32.67	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 04, 1979"	"1979/04/04"	44.05	29.63	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 05, 1979"	"1979/04/05"	35.85	31.48	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 06, 1979"	"1979/04/06"	40.70	29.10	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 07, 1979"	"1979/04/07"	34.25	28.29	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 08, 1979"	"1979/04/08"	31.94	26.59	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 09, 1979"	"1979/04/09"	37.20	27.85	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 10, 1979"	"1979/04/10"	37.89	30.59	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 11, 1979"	"1979/04/11"	37.39	28.84	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 12, 1979"	"1979/04/12"	39.58	29.26	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 13, 1979"	"1979/04/13"	48.97	31.12	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 14, 1979"	"1979/04/14"	47.62	34.15	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 15, 1979"	"1979/04/15"	43.59	34.36	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 16, 1979"	"1979/04/16"	46.72	34.00	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 17, 1979"	"1979/04/17"	44.34	33.44	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 18, 1979"	"1979/04/18"	40.30	32.00	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 19, 1979"	"1979/04/19"	40.94	32.64	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 20, 1979"	"1979/04/20"	47.62	33.48	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 21, 1979"	"1979/04/21"	55.58	34.17	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 22, 1979"	"1979/04/22"	54.98	33.65	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 23, 1979"	"1979/04/23"	57.97	39.43	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 24, 1979"	"1979/04/24"	53.50	35.40	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 25, 1979"	"1979/04/25"	58.12	38.35	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 26, 1979"	"1979/04/26"	61.99	40.90	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 27, 1979"	"1979/04/27"	56.69	50.17	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 28, 1979"	"1979/04/28"	62.09	50.29	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 29, 1979"	"1979/04/29"	57.63	49.81	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 30, 1979"	"1979/04/30"	56.61	48.38	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 01, 1979"	"1979/05/01"	57.66	43.09	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 02, 1979"	"1979/05/02"	50.69	38.66	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 03, 1979"	"1979/05/03"	57.34	35.35	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 04, 1979"	"1979/05/04"	54.69	41.95	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 05, 1979"	"1979/05/05"	47.77	33.28	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 06, 1979"	"1979/05/06"	47.74	31.02	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 07, 1979"	"1979/05/07"	55.64	30.77	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 08, 1979"	"1979/05/08"	62.32	38.52	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 09, 1979"	"1979/05/09"	81.23	46.24	84.38
	"Census Region 1: Northeast"	"CENS-R1"	"May 10, 1979"	"1979/05/10"	68.21	47.26	83.20
	"Census Region 1: Northeast"	"CENS-R1"	"May 11, 1979"	"1979/05/11"	59.31	41.40	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 12, 1979"	"1979/05/12"	61.58	44.29	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 13, 1979"	"1979/05/13"	67.14	47.25	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 14, 1979"	"1979/05/14"	60.93	53.13	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 15, 1979"	"1979/05/15"	65.55	51.11	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 16, 1979"	"1979/05/16"	67.32	49.27	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 17, 1979"	"1979/05/17"	61.63	44.90	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 18, 1979"	"1979/05/18"	64.65	45.54	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 19, 1979"	"1979/05/19"	67.64	50.51	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 20, 1979"	"1979/05/20"	66.88	49.84	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 21, 1979"	"1979/05/21"	64.72	53.38	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 22, 1979"	"1979/05/22"	60.95	45.37	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 23, 1979"	"1979/05/23"	61.17	43.91	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 24, 1979"	"1979/05/24"	55.97	47.44	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 25, 1979"	"1979/05/25"	53.16	46.75	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 26, 1979"	"1979/05/26"	55.28	45.15	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 27, 1979"	"1979/05/27"	61.71	47.31	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 28, 1979"	"1979/05/28"	56.52	47.41	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 29, 1979"	"1979/05/29"	61.04	48.84	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 30, 1979"	"1979/05/30"	62.65	50.52	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 31, 1979"	"1979/05/31"	64.35	50.69	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 01, 1979"	"1979/06/01"	67.95	51.84	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 02, 1979"	"1979/06/02"	70.20	53.04	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 03, 1979"	"1979/06/03"	71.20	52.20	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 04, 1979"	"1979/06/04"	71.82	52.13	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 05, 1979"	"1979/06/05"	71.06	53.82	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 06, 1979"	"1979/06/06"	62.56	50.36	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 07, 1979"	"1979/06/07"	68.40	47.47	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 08, 1979"	"1979/06/08"	73.29	49.35	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 09, 1979"	"1979/06/09"	74.12	58.79	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 10, 1979"	"1979/06/10"	72.09	59.75	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 11, 1979"	"1979/06/11"	67.35	55.17	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 12, 1979"	"1979/06/12"	64.01	45.49	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 13, 1979"	"1979/06/13"	55.67	43.69	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 14, 1979"	"1979/06/14"	65.89	43.60	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 15, 1979"	"1979/06/15"	75.82	52.28	83.67
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 16, 1979"	"1979/06/16"	81.25	61.89	87.20
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 17, 1979"	"1979/06/17"	77.97	61.26	85.00
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 18, 1979"	"1979/06/18"	74.55	53.27	83.72
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 19, 1979"	"1979/06/19"	68.35	48.81	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 20, 1979"	"1979/06/20"	70.81	50.24	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 21, 1979"	"1979/06/21"	70.22	48.82	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 22, 1979"	"1979/06/22"	62.25	51.43	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 23, 1979"	"1979/06/23"	71.41	52.45	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 24, 1979"	"1979/06/24"	61.15	49.93	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 25, 1979"	"1979/06/25"	56.00	47.14	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 26, 1979"	"1979/06/26"	68.31	45.21	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 27, 1979"	"1979/06/27"	68.94	47.70	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 28, 1979"	"1979/06/28"	70.41	53.26	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 29, 1979"	"1979/06/29"	72.27	53.67	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 30, 1979"	"1979/06/30"	72.22	51.25	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 01, 1979"	"1979/07/01"	65.84	54.97	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 02, 1979"	"1979/07/02"	73.12	57.11	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 03, 1979"	"1979/07/03"	68.78	54.42	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 04, 1979"	"1979/07/04"	63.10	48.21	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 05, 1979"	"1979/07/05"	58.57	44.31	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 06, 1979"	"1979/07/06"	63.20	44.82	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 07, 1979"	"1979/07/07"	70.25	46.57	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 08, 1979"	"1979/07/08"	78.80	55.85	83.01
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 09, 1979"	"1979/07/09"	80.29	59.50	84.03
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 10, 1979"	"1979/07/10"	80.38	61.44	84.20
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 11, 1979"	"1979/07/11"	75.11	60.75	83.02
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 12, 1979"	"1979/07/12"	75.05	60.62	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 13, 1979"	"1979/07/13"	80.72	63.98	85.21
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 14, 1979"	"1979/07/14"	80.38	63.82	85.52
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 15, 1979"	"1979/07/15"	75.90	61.50	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 16, 1979"	"1979/07/16"	74.56	60.62	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 17, 1979"	"1979/07/17"	73.52	61.51	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 18, 1979"	"1979/07/18"	73.09	58.96	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 19, 1979"	"1979/07/19"	75.85	58.73	80.60
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 20, 1979"	"1979/07/20"	77.15	57.06	81.89
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 21, 1979"	"1979/07/21"	78.55	61.40	83.02
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 22, 1979"	"1979/07/22"	81.10	61.14	85.21
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 23, 1979"	"1979/07/23"	76.23	61.49	83.62
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 24, 1979"	"1979/07/24"	80.96	60.04	85.47
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 25, 1979"	"1979/07/25"	79.73	62.24	85.38
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 26, 1979"	"1979/07/26"	80.50	64.54	86.36
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 27, 1979"	"1979/07/27"	76.30	64.53	84.40
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 28, 1979"	"1979/07/28"	76.62	65.44	85.50
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 29, 1979"	"1979/07/29"	79.28	65.16	84.48
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 30, 1979"	"1979/07/30"	81.00	63.21	84.62
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 31, 1979"	"1979/07/31"	79.75	63.15	84.38
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 01, 1979"	"1979/08/01"	76.44	63.01	87.07
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 02, 1979"	"1979/08/02"	79.19	63.83	85.97
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 03, 1979"	"1979/08/03"	81.52	66.37	87.82
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 04, 1979"	"1979/08/04"	81.25	64.64	85.91
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 05, 1979"	"1979/08/05"	81.04	64.61	86.14
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 06, 1979"	"1979/08/06"	72.22	52.61	80.90
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 07, 1979"	"1979/08/07"	69.08	49.19	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 08, 1979"	"1979/08/08"	72.91	55.22	81.63
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 09, 1979"	"1979/08/09"	61.00	47.68	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 10, 1979"	"1979/08/10"	58.20	47.03	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 11, 1979"	"1979/08/11"	66.71	51.75	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 12, 1979"	"1979/08/12"	56.95	48.67	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 13, 1979"	"1979/08/13"	56.62	48.14	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 14, 1979"	"1979/08/14"	64.55	47.78	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 15, 1979"	"1979/08/15"	60.71	49.01	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 16, 1979"	"1979/08/16"	66.14	47.70	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 17, 1979"	"1979/08/17"	64.27	49.11	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 18, 1979"	"1979/08/18"	65.11	48.87	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 19, 1979"	"1979/08/19"	59.63	52.01	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 20, 1979"	"1979/08/20"	63.77	53.01	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 21, 1979"	"1979/08/21"	66.66	52.58	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 22, 1979"	"1979/08/22"	70.88	56.13	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 23, 1979"	"1979/08/23"	73.19	54.45	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 24, 1979"	"1979/08/24"	73.32	56.13	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 25, 1979"	"1979/08/25"	76.21	63.41	83.03
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 26, 1979"	"1979/08/26"	72.66	60.28	80.40
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 27, 1979"	"1979/08/27"	66.89	57.93	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 28, 1979"	"1979/08/28"	73.64	58.65	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 29, 1979"	"1979/08/29"	72.90	58.00	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Aug 30, 1979"	"1979/08/30"	78.45	62.49	84.34
